description,proof_size_in_bytes
Passport: Proving empty linkage,744
Passport: Proving agefaceexpiry linkage,1064
Passport: Proving agemultishowexpiry linkage,1064
Passport: Proving expiry linkage,1064
Passport: Proving ageexpiry+multishow linkage,1704
Student ID: proving empty linkage,744
Student ID: proving expiry linkage,1384
Employee ID: proving empty linkage,744
Employee ID: proving expiry linkage,1384
Joint SE: proving linkage,2024
Joint PS: proving linkage,2024
Joint PE: proving linkage,1704
Joint SE: proving linkage,2024
Joint PS: proving linkage,2024
Joint PE: proving linkage,1704
Pseudonymous show,1064
Multishow,1064
Revealing multishow,1064
Age [np=0],744
Age [np=5],2344
Age [np=10],3944
Age [np=15],5544
Age [np=20],7144
Age [np=25],8744
Age [np=30],10344
Age [np=35],11944
Age [np=40],13544
Age [np=45],15144
Age [np=50],16744
Age [np=55],18344
Age [np=60],19944
Age [np=65],21544
Age [np=70],23144
Age [np=75],24744
Age [np=80],26344
Age [np=85],27944
Age [np=90],29544
Age [np=95],31144
Age+Multishow,1384
Expiry,1064
